# Area = 0.393 [cm^2]
# I&V vs t = 0
# sweepUp = 0
# Voltage [V],Current [A]
1.100055098533630371e+00,8.560561574995517731e-03
1.045899987220764160e+00,5.243215709924697876e-03
9.916573762893676758e-01,2.279224107041954994e-03
9.374544620513916016e-01,-2.058284298982471228e-04
8.833565711975097656e-01,-2.084993524476885796e-03
8.291937708854675293e-01,-3.476912621408700943e-03
7.750135660171508789e-01,-4.537475761026144028e-03
7.208476662635803223e-01,-5.297297146171331406e-03
6.666159033775329590e-01,-5.773811601102352142e-03
6.124780178070068359e-01,-6.084154359996318817e-03
5.583783388137817383e-01,-6.216277368366718292e-03
5.041648745536804199e-01,-6.203052587807178497e-03
4.499927759170532227e-01,-6.209448911249637604e-03
3.957897722721099854e-01,-6.236465647816658020e-03
3.416275084018707275e-01,-6.224861368536949158e-03
2.875363826751708984e-01,-6.225707009434700012e-03
2.333606481552124023e-01,-6.245340220630168915e-03
1.791295856237411499e-01,-6.283717695623636246e-03
1.249633580446243286e-01,-6.270045880228281021e-03
7.081505656242370605e-02,-6.286609917879104614e-03
1.663798093795776367e-02,-6.253464147448539734e-03
-3.743893280625343323e-02,-6.312083452939987183e-03
-9.155122190713882446e-02,-6.275699939578771591e-03
-1.457487791776657104e-01,-6.330525502562522888e-03
-1.999492794275283813e-01,-6.311309058219194412e-03
