# Area: 16368 [cm^2]
# V [V],I [A]
-0.732,8.684
-0.732,8.692
-0.684,8.697
-0.684,8.692
-0.439,8.692
-0.342,8.697
-0.195,8.689
0,8.694
0.098,8.694
0.342,8.69
0.439,8.69
0.635,8.69
0.732,8.686
0.83,8.686
1.025,8.686
1.221,8.691
1.367,8.683
1.514,8.683
1.709,8.683
1.904,8.688
2.1,8.688
2.295,8.688
2.344,8.688
2.637,8.684
2.686,8.684
2.881,8.684
3.125,8.684
3.223,8.684
3.467,8.684
3.564,8.684
3.76,8.684
3.955,8.684
4.053,8.675
4.248,8.68
4.346,8.675
4.492,8.675
4.736,8.675
4.883,8.675
5.078,8.68
5.273,8.675
5.469,8.68
5.566,8.68
5.713,8.675
5.908,8.68
6.055,8.68
6.25,8.675
6.348,8.675
6.543,8.68
6.689,8.68
6.885,8.68
7.08,8.68
7.178,8.68
7.324,8.68
7.422,8.68
7.617,8.68
7.861,8.672
8.008,8.677
8.203,8.677
8.35,8.677
8.545,8.677
8.74,8.682
8.838,8.677
9.082,8.682
9.18,8.682
9.375,8.677
9.521,8.677
9.668,8.677
9.863,8.677
10.059,8.682
10.205,8.677
10.352,8.677
10.498,8.677
10.645,8.682
10.791,8.677
11.035,8.682
11.133,8.677
11.279,8.682
11.475,8.682
11.67,8.677
11.816,8.677
11.963,8.677
12.158,8.682
12.207,8.677
12.402,8.668
12.646,8.677
12.744,8.677
12.939,8.682
13.086,8.677
13.232,8.677
13.379,8.668
13.477,8.677
13.672,8.677
13.818,8.668
14.014,8.668
14.16,8.668
14.307,8.677
14.502,8.677
14.746,8.668
14.893,8.677
15.039,8.668
15.186,8.677
15.381,8.668
15.527,8.668
15.771,8.677
15.82,8.668
16.064,8.668
16.211,8.668
16.357,8.668
16.602,8.668
16.699,8.668
16.846,8.668
16.992,8.668
17.139,8.668
17.383,8.668
17.48,8.668
17.725,8.668
17.871,8.668
18.018,8.663
18.164,8.668
18.359,8.668
18.506,8.663
18.652,8.663
18.848,8.663
18.994,8.668
19.092,8.663
19.336,8.663
19.482,8.663
19.629,8.663
19.727,8.663
19.922,8.663
20.068,8.663
20.215,8.663
20.41,8.663
20.557,8.659
20.801,8.663
20.898,8.655
21.094,8.659
21.289,8.659
21.436,8.659
21.631,8.65
21.729,8.659
21.924,8.654
22.07,8.659
22.217,8.654
22.461,8.654
22.559,8.654
22.754,8.649
22.9,8.64
22.998,8.64
23.193,8.64
23.34,8.635
23.535,8.635
23.682,8.635
23.828,8.631
24.023,8.631
24.17,8.626
24.365,8.621
24.463,8.616
24.609,8.616
24.805,8.611
24.951,8.606
25.146,8.601
25.293,8.596
25.488,8.592
25.586,8.6
25.732,8.582
25.928,8.577
26.025,8.567
26.221,8.571
26.367,8.561
26.514,8.551
26.709,8.537
26.855,8.527
27.051,8.504
27.197,8.499
27.393,8.488
27.588,8.465
27.686,8.454
27.881,8.436
28.027,8.416
28.223,8.4
28.369,8.371
28.564,8.343
28.711,8.324
28.857,8.289
29.053,8.26
29.15,8.236
29.346,8.192
29.443,8.182
29.59,8.137
29.834,8.065
29.98,8.039
30.176,7.968
30.322,7.929
30.469,7.865
30.615,7.802
30.713,7.778
30.908,7.678
31.055,7.651
31.201,7.568
31.348,7.468
31.494,7.412
31.641,7.286
31.787,7.229
31.982,7.105
32.08,7.052
32.178,7
32.373,6.839
32.471,6.764
32.666,6.584
32.764,6.52
32.91,6.36
33.105,6.194
33.301,6.067
33.398,5.892
33.496,5.843
33.643,5.614
33.789,5.502
33.936,5.38
34.082,5.127
34.229,5.019
34.375,4.8
34.521,4.63
34.619,4.459
34.766,4.25
34.863,4.133
35.059,3.879
35.107,3.743
35.303,3.489
35.449,3.289
35.547,3.158
35.693,2.846
35.84,2.622
35.986,2.383
36.084,2.208
36.182,2.061
36.279,1.75
36.426,1.535
36.572,1.248
36.67,1.082
36.768,0.833
36.963,0.517
37.061,0.278
37.207,0.005
37.305,-0.161
37.354,-0.341
37.402,-0.351
37.402,-0.361
37.402,-0.361
37.402,-0.365
